Distrito,Concelho,CodDistritoConcelho,P_IP_TOTAL,P_IP_Inef,Rate_Ineficiencia,Cap_PTD,Util_Media,N_PTDs,Ganho_LED,PFolga,PVE,D
Aveiro,Águeda,101,910.8877014007568,244.31999999999994,0.2682218671130221,105715,0.47759259259259257,388,158.80799999999996,50808.19514814815,5121.599999999999,45845.40314814815
Aveiro,Albergaria-a-Velha,102,451.71180060958864,28.02,0.062030701793016674,54540,0.4699481865284974,194,18.213,26596.303834196897,2560.7999999999997,24053.716834196897
Aveiro,Anadia,103,657.0718007774353,73.54500000000002,0.11192840708273116,55628,0.5430092592592592,223,47.80425000000001,23387.762451851853,2943.6,20491.966701851856
Aveiro,Arouca,104,585.9744003143311,115.71999999999998,0.19748302986943617,41884,0.5273873873873873,236,75.21799999999999,18211.314133333333,3115.2,15171.332133333333
Aveiro,Aveiro,105,1055.192000682831,144.42,0.13686608684158294,197485,0.4754747474747475,509,93.87299999999999,95298.99993535354,6718.8,88674.07293535354
Aveiro,Castelo de Paiva,106,391.71010011672973,137.90000000000003,0.3520460666163721,25760,0.5432283464566928,128,89.63500000000002,10825.122771653545,1689.6,9225.157771653545
Aveiro,Espinho,107,387.5047000732422,49.295,0.12721136025106988,62765,0.44339449541284404,116,32.04175,32140.51693577982,1531.2,30641.35868577982
Aveiro,Estarreja,108,468.5167010345459,38.215,0.0815659290599808,52200,0.5076162790697675,176,24.839750000000002,23646.235813953488,2323.2,21347.875563953487
Aveiro,Santa Maria da Feira,109,2045.0107004470824,757.57,0.37044793938456133,223550,0.5828827361563518,644,492.42050000000006,85786.83918566776,8500.8,77778.45968566775
Aveiro,Ílhavo,110,472.91269931411745,102.015,0.21571634711428997,79890,0.4807804878048781,211,66.30975000000001,38162.01108292683,2785.2,35443.120832926834
Aveiro,Mealhada,111,378.64390013122556,123.95,0.32735242785383045,32635,0.5871653543307087,129,80.56750000000001,12395.029968503935,1702.8,10772.797468503935
Aveiro,Murtosa,112,292.3193004837036,26.65,0.09116743217400282,21050,0.4962121212121212,69,17.322499999999998,9756.35606060606,910.8,8862.878560606061
Aveiro,Oliveira de Azeméis,113,1008.5009011077881,170.73999999999998,0.16930079072061371,115920,0.4993837535014006,377,110.981,53388.920470588244,4976.4,48523.50147058824
Aveiro,Oliveira do Bairro,114,472.7160010032654,42.57,0.09005407032901756,56190,0.48576086956521736,190,27.6705,26583.489000000005,2508.0,24103.159500000005
Aveiro,Ovar,115,923.0092005653381,141.89999999999998,0.153736279024182,116660,0.5056393442622951,310,92.23499999999999,53058.34497049181,4092.0,49058.57997049181
Aveiro,São João da Madeira,116,296.5063000106811,16.497999999999998,0.055641313521519395,57100,0.437787610619469,117,10.7237,29534.141238938053,1544.3999999999999,28000.46493893805
Aveiro,Sever do Vouga,117,329.62600104904175,9.61,0.029154253515851207,25110,0.5017293233082707,136,6.2465,11510.650556390978,1795.2,9721.697056390976
Aveiro,Vagos,118,454.93219794464113,58.78999999999999,0.1292280481918185,45500,0.5438095238095239,194,38.213499999999996,19096.13333333333,2560.7999999999997,16573.546833333334
Aveiro,Vale de Cambra,119,440.60890073776244,7.71,0.017498511689369542,37270,0.5538461538461539,155,5.0115,15297.901538461538,2046.0,13256.913038461538
Beja,Aljustrel,201,138.048,0.0,0.0,21530,0.4736521739130435,129,0.0,10425.6872,1702.8,8722.887200000001
Beja,Almodôvar,202,198.46099991226197,71.88,0.36218702934973407,16765,0.4114285714285715,200,46.722,9078.008,2640.0,6484.73
Beja,Alvito,203,60.32270013427734,9.45,0.15665744369805154,8510,0.41500000000000004,58,6.1425,4580.082,765.6,3820.6245000000004
Beja,Barrancos,204,23.21860019683838,5.47,0.23558698429825395,3470,0.3311764705882353,19,3.5555,2135.152235294118,250.79999999999998,1887.9077352941179
Beja,Beja,205,418.20110110855103,39.07,0.09342395296529536,98315,0.4467386091127098,439,25.395500000000002,50042.38215347722,5794.8,44272.97765347722
Beja,Castro Verde,206,175.53550105667114,55.53,0.31634626423558787,15205,0.43396039603960396,107,36.094500000000004,7918.101603960397,1412.3999999999999,6541.796103960398
Beja,Cuba,207,74.655,0.0,0.0,10505,0.43350000000000005,63,0.0,5474.9959,831.6,4643.3958999999995
Beja,Ferreira do Alentejo,208,137.98180017089842,11.309999999999999,0.08196733182196428,24790,0.4276282051282051,166,7.3515,13053.96905128205,2191.2,10870.120551282052
Beja,Mértola,209,206.15700003051757,16.09,0.07804731344372583,16885,0.4679393939393939,193,10.4585,8265.135866666667,2547.6,5727.994366666668
Beja,Moura,210,159.78490096092224,26.03,0.16290650645623908,30340,0.5063366336633663,221,16.919500000000003,13779.52681188119,2917.2,10879.24631188119
Beja,Odemira,211,423.33190081596376,30.02,0.0709136257913402,65693,0.46354709418837675,527,19.513,32421.904682164328,6956.4,25485.017682164325
Beja,Ourique,212,99.27950007247925,6.5600000000000005,0.06607607809478146,14964,0.37993589743589745,167,4.264,8536.348092307691,2204.4,6336.212092307691
Beja,Serpa,213,244.34410078048705,109.315,0.44738137589908916,45645,0.35973753280839893,414,71.05475,26886.79788976378,5464.8,21493.05263976378
Beja,Vidigueira,214,85.51040028762817,1.74,0.020348401997268475,14865,0.46541176470588236,90,1.131,7310.921788235294,1188.0,6124.052788235294
Braga,Amares,301,465.7696001281738,34.6,0.0742856553765607,32128,0.5173134328358209,141,22.490000000000002,14267.133707462688,1861.1999999999998,12428.423707462687
Braga,Barcelos,302,1529.958601070404,625.79,0.4090241393212724,184245,0.6274439461883408,694,406.76349999999996,63150.26292376682,9160.8,54396.22642376683
Braga,Braga,303,2502.533001815796,1320.345,0.5276034318196722,374450,0.5423461091753774,893,858.2242500000001,157659.01946573754,11787.6,146729.64371573753
Braga,Cabeceiras de Basto,304,397.72320006370546,106.28800000000001,0.26724113650643283,28343,0.5577272727272727,190,69.08720000000001,11532.509036363637,2508.0,9093.596236363637
Braga,Celorico de Basto,305,382.37679987335207,4.34,0.011350060990722924,33610,0.5279326923076924,220,2.821,14596.887634615383,2904.0,11695.708634615383
Braga,Esposende,306,994.5323999633789,818.4849999999999,0.822984751457206,73185,0.5697844827586207,245,532.0152499999999,28966.496818965516,3234.0,26264.512068965516
Braga,Fafe,307,898.4140002880097,245.93500000000003,0.27374350791634955,92681,0.5514956011730205,363,159.85775000000004,38242.40929266862,4791.599999999999,33610.667042668625
Braga,Guimarães,308,1974.1313957042694,908.48,0.4601922658121248,302060,0.5620754716981132,891,590.5120000000001,121697.12437735849,11761.199999999999,110526.43637735849
Braga,Póvoa de Lanhoso,309,328.1854000167847,0.0,0.0,40108,0.5685714285714285,193,0.0,15919.438171428574,2547.6,13371.838171428573
Braga,Terras de Bouro,310,211.63600007247925,46.1,0.2178268346794122,14733,0.5052127659574468,96,29.965000000000003,6706.524293617022,1267.2,5469.289293617022
Braga,Vieira do Minho,311,317.9235,0.0,0.0,25418,0.52375,154,0.0,11136.8967,2032.8,9104.0967
Braga,Vila Nova de Famalicão,312,1963.4780016441346,983.8100000000002,0.5010547605708843,217120,0.5502564102564103,670,639.4765000000001,89836.46194871794,8844.0,81631.93844871795
Braga,Vila Verde,313,1059.259700199127,612.21,0.5779602489218767,75620,0.599503105590062,351,397.9365,27862.72914285715,4633.2,23627.46564285715
Braga,Vizela,314,312.68900036239626,80.56,0.2576361813387539,37515,0.6118918918918919,112,52.364000000000004,13395.085621621623,1478.3999999999999,11969.049621621623
Bragança,Alfândega da Fé,401,212.19810004425048,0.0,0.0,10004,0.4989705882352941,74,0.0,4611.314376470588,976.8,3634.514376470588
Bragança,Bragança,402,869.3934000015258,27.98,0.032183359109870045,78534,0.568816199376947,340,18.187,31153.58151028037,4488.0,26683.768510280373
